Commodity,Year,Attribute,Value,Notes
Frozen fruit (processed-weight basis): Per capita availability,1970,"U.S. population, July 1-Millions",205.052,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1971,"U.S. population, July 1-Millions",207.661,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1972,"U.S. population, July 1-Millions",209.896,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1973,"U.S. population, July 1-Millions",211.909,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1974,"U.S. population, July 1-Millions",213.854,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1975,"U.S. population, July 1-Millions",215.973,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1976,"U.S. population, July 1-Millions",218.035,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1977,"U.S. population, July 1-Millions",220.239,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1978,"U.S. population, July 1-Millions",222.585,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1979,"U.S. population, July 1-Millions",225.055,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1980,"U.S. population, July 1-Millions",227.726,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1981,"U.S. population, July 1-Millions",229.966,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1982,"U.S. population, July 1-Millions",232.188,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1983,"U.S. population, July 1-Millions",234.307,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1984,"U.S. population, July 1-Millions",236.348,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1985,"U.S. population, July 1-Millions",238.466,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1986,"U.S. population, July 1-Millions",240.651,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1987,"U.S. population, July 1-Millions",242.804,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1988,"U.S. population, July 1-Millions",245.021,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1989,"U.S. population, July 1-Millions",247.342,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1990,"U.S. population, July 1-Millions",250.132,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1991,"U.S. population, July 1-Millions",253.493,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1992,"U.S. population, July 1-Millions",256.894,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1993,"U.S. population, July 1-Millions",260.255,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1994,"U.S. population, July 1-Millions",263.436,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1995,"U.S. population, July 1-Millions",266.557,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1996,"U.S. population, July 1-Millions",269.667,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1997,"U.S. population, July 1-Millions",272.912,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1998,"U.S. population, July 1-Millions",276.115,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1999,"U.S. population, July 1-Millions",279.295,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2000,"U.S. population, July 1-Millions",282.385,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2001,"U.S. population, July 1-Millions",285.309019,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2002,"U.S. population, July 1-Millions",288.104818,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2003,"U.S. population, July 1-Millions",290.819634,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2004,"U.S. population, July 1-Millions",293.463185,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2005,"U.S. population, July 1-Millions",296.186216,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2006,"U.S. population, July 1-Millions",298.995825,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2007,"U.S. population, July 1-Millions",302.003917,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2008,"U.S. population, July 1-Millions",304.797761,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2009,"U.S. population, July 1-Millions",307.439406,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2010,"U.S. population, July 1-Millions",309.741279,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2011,"U.S. population, July 1-Millions",311.973914,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2012,"U.S. population, July 1-Millions",314.167558,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2013,"U.S. population, July 1-Millions",316.294766,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2014,"U.S. population, July 1-Millions",318.576955,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2015,"U.S. population, July 1-Millions",320.870703,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2016,"U.S. population, July 1-Millions",323.161011,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2017,"U.S. population, July 1-Millions",325.20603,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2018,"U.S. population, July 1-Millions",326.923976,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2019,"U.S. population, July 1-Millions",328.475998,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2020,"U.S. population, July 1-Millions",330.11398,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,2021,"U.S. population, July 1-Millions",332.281395,Resident population plus the Armed Forces overseas.
Frozen fruit (processed-weight basis): Per capita availability,1970,Berries-Blackberries-Pounds,0.103388409,
Frozen fruit (processed-weight basis): Per capita availability,1971,Berries-Blackberries-Pounds,0.164691492,
Frozen fruit (processed-weight basis): Per capita availability,1972,Berries-Blackberries-Pounds,0.10910165,
Frozen fruit (processed-weight basis): Per capita availability,1973,Berries-Blackberries-Pounds,0.075976009,
Frozen fruit (processed-weight basis): Per capita availability,1974,Berries-Blackberries-Pounds,0.056113049,
Frozen fruit (processed-weight basis): Per capita availability,1975,Berries-Blackberries-Pounds,0.083343751,
Frozen fruit (processed-weight basis): Per capita availability,1976,Berries-Blackberries-Pounds,0.11924691,
Frozen fruit (processed-weight basis): Per capita availability,1977,Berries-Blackberries-Pounds,0.1244103,
Frozen fruit (processed-weight basis): Per capita availability,1978,Berries-Blackberries-Pounds,0.099737179,
Frozen fruit (processed-weight basis): Per capita availability,1979,Berries-Blackberries-Pounds,0.061318344,
Frozen fruit (processed-weight basis): Per capita availability,1980,Berries-Blackberries-Pounds,0.022395335,
Frozen fruit (processed-weight basis): Per capita availability,1981,Berries-Blackberries-Pounds,0.037396833,
Frozen fruit (processed-weight basis): Per capita availability,1982,Berries-Blackberries-Pounds,0.091305322,
Frozen fruit (processed-weight basis): Per capita availability,1983,Berries-Blackberries-Pounds,0.078529451,
Frozen fruit (processed-weight basis): Per capita availability,1984,Berries-Blackberries-Pounds,0.040618072,
Frozen fruit (processed-weight basis): Per capita availability,1985,Berries-Blackberries-Pounds,0.043612087,
Frozen fruit (processed-weight basis): Per capita availability,1986,Berries-Blackberries-Pounds,0.039891794,
Frozen fruit (processed-weight basis): Per capita availability,1987,Berries-Blackberries-Pounds,0.072074595,
Frozen fruit (processed-weight basis): Per capita availability,1988,Berries-Blackberries-Pounds,0.126111639,
Frozen fruit (processed-weight basis): Per capita availability,1989,Berries-Blackberries-Pounds,0.066304954,
Frozen fruit (processed-weight basis): Per capita availability,1990,Berries-Blackberries-Pounds,0.08075736,
Frozen fruit (processed-weight basis): Per capita availability,1991,Berries-Blackberries-Pounds,0.073374807,
Frozen fruit (processed-weight basis): Per capita availability,1992,Berries-Blackberries-Pounds,0.068390075,
Frozen fruit (processed-weight basis): Per capita availability,1993,Berries-Blackberries-Pounds,0.110068971,
Frozen fruit (processed-weight basis): Per capita availability,1994,Berries-Blackberries-Pounds,0.076067812,
Frozen fruit (processed-weight basis): Per capita availability,1995,Berries-Blackberries-Pounds,0.119839284,
Frozen fruit (processed-weight basis): Per capita availability,1996,Berries-Blackberries-Pounds,0.060237256,
Frozen fruit (processed-weight basis): Per capita availability,1997,Berries-Blackberries-Pounds,0.074327989,
Frozen fruit (processed-weight basis): Per capita availability,1998,Berries-Blackberries-Pounds,0.104583235,
Frozen fruit (processed-weight basis): Per capita availability,1999,Berries-Blackberries-Pounds,0.085497413,
Frozen fruit (processed-weight basis): Per capita availability,2000,Berries-Blackberries-Pounds,0.090373072,
Frozen fruit (processed-weight basis): Per capita availability,2001,Berries-Blackberries-Pounds,0.084599499,
Frozen fruit (processed-weight basis): Per capita availability,2002,Berries-Blackberries-Pounds,0.084594212,
Frozen fruit (processed-weight basis): Per capita availability,2003,Berries-Blackberries-Pounds,0.08051726,
Frozen fruit (processed-weight basis): Per capita availability,2004,Berries-Blackberries-Pounds,0.074112566,
Frozen fruit (processed-weight basis): Per capita availability,2005,Berries-Blackberries-Pounds,0.1076476,
Frozen fruit (processed-weight basis): Per capita availability,2006,Berries-Blackberries-Pounds,0.076694862,
Frozen fruit (processed-weight basis): Per capita availability,2007,Berries-Blackberries-Pounds,0.095077513,
Frozen fruit (processed-weight basis): Per capita availability,2008,Berries-Blackberries-Pounds,0.102343937,
Frozen fruit (processed-weight basis): Per capita availability,2009,Berries-Blackberries-Pounds,0.091375244,
Frozen fruit (processed-weight basis): Per capita availability,2010,Berries-Blackberries-Pounds,0.089329635,
Frozen fruit (processed-weight basis): Per capita availability,2011,Berries-Blackberries-Pounds,0.068556901,
Frozen fruit (processed-weight basis): Per capita availability,2012,Berries-Blackberries-Pounds,0.08675168,
Frozen fruit (processed-weight basis): Per capita availability,2013,Berries-Blackberries-Pounds,0.111181274,
Frozen fruit (processed-weight basis): Per capita availability,2014,Berries-Blackberries-Pounds,0.078885783,
Frozen fruit (processed-weight basis): Per capita availability,2015,Berries-Blackberries-Pounds,0.106675448,
Frozen fruit (processed-weight basis): Per capita availability,2016,Berries-Blackberries-Pounds,0.083847156,
Frozen fruit (processed-weight basis): Per capita availability,2017,Berries-Blackberries-Pounds,0.09331872,
Frozen fruit (processed-weight basis): Per capita availability,2018,Berries-Blackberries-Pounds,NA,"No longer updated after 2017. Beginning in 2018 crop year, USDA, National Agricultural Statistics Service discontinued reporting domestic production. There is no data on trade."
Frozen fruit (processed-weight basis): Per capita availability,2019,Berries-Blackberries-Pounds,NA,"No longer updated after 2017. Beginning in 2018 crop year, USDA, National Agricultural Statistics Service discontinued reporting domestic production. There is no data on trade."
Frozen fruit (processed-weight basis): Per capita availability,2020,Berries-Blackberries-Pounds,NA,"No longer updated after 2017. Beginning in 2018 crop year, USDA, National Agricultural Statistics Service discontinued reporting domestic production. There is no data on trade."
Frozen fruit (processed-weight basis): Per capita availability,2021,Berries-Blackberries-Pounds,NA,"No longer updated after 2017. Beginning in 2018 crop year, USDA, National Agricultural Statistics Service discontinued reporting domestic production. There is no data on trade."
Frozen fruit (processed-weight basis): Per capita availability,1970,Berries-Blueberries-Pounds,0.211653629,
Frozen fruit (processed-weight basis): Per capita availability,1971,Berries-Blueberries-Pounds,0.177211898,
Frozen fruit (processed-weight basis): Per capita availability,1972,Berries-Blueberries-Pounds,0.182947746,
Frozen fruit (processed-weight basis): Per capita availability,1973,Berries-Blueberries-Pounds,0.161861931,
Frozen fruit (processed-weight basis): Per capita availability,1974,Berries-Blueberries-Pounds,0.143555884,
Frozen fruit (processed-weight basis): Per capita availability,1975,Berries-Blueberries-Pounds,0.190301565,
Frozen fruit (processed-weight basis): Per capita availability,1976,Berries-Blueberries-Pounds,0.133923453,
Frozen fruit (processed-weight basis): Per capita availability,1977,Berries-Blueberries-Pounds,0.131221083,
Frozen fruit (processed-weight basis): Per capita availability,1978,Berries-Blueberries-Pounds,0.111867377,
Frozen fruit (processed-weight basis): Per capita availability,1979,Berries-Blueberries-Pounds,0.132412077,
Frozen fruit (processed-weight basis): Per capita availability,1980,Berries-Blueberries-Pounds,0.184432168,
Frozen fruit (processed-weight basis): Per capita availability,1981,Berries-Blueberries-Pounds,0.170025134,
Frozen fruit (processed-weight basis): Per capita availability,1982,Berries-Blueberries-Pounds,0.113270281,
Frozen fruit (processed-weight basis): Per capita availability,1983,Berries-Blueberries-Pounds,0.044813002,
Frozen fruit (processed-weight basis): Per capita availability,1984,Berries-Blueberries-Pounds,0.253439843,
Frozen fruit (processed-weight basis): Per capita availability,1985,Berries-Blueberries-Pounds,0.221415212,
Frozen fruit (processed-weight basis): Per capita availability,1986,Berries-Blueberries-Pounds,0.38,
Frozen fruit (processed-weight basis): Per capita availability,1987,Berries-Blueberries-Pounds,0.26,
Frozen fruit (processed-weight basis): Per capita availability,1988,Berries-Blueberries-Pounds,0.21,
Frozen fruit (processed-weight basis): Per capita availability,1989,Berries-Blueberries-Pounds,0.3,
Frozen fruit (processed-weight basis): Per capita availability,1990,Berries-Blueberries-Pounds,0.325827963,
Frozen fruit (processed-weight basis): Per capita availability,1991,Berries-Blueberries-Pounds,0.338470885,
Frozen fruit (processed-weight basis): Per capita availability,1992,Berries-Blueberries-Pounds,0.408791175,
Frozen fruit (processed-weight basis): Per capita availability,1993,Berries-Blueberries-Pounds,0.47198709,
Frozen fruit (processed-weight basis): Per capita availability,1994,Berries-Blueberries-Pounds,0.486417954,
Frozen fruit (processed-weight basis): Per capita availability,1995,Berries-Blueberries-Pounds,0.458569837,
Frozen fruit (processed-weight basis): Per capita availability,1996,Berries-Blueberries-Pounds,0.369678159,
Frozen fruit (processed-weight basis): Per capita availability,1997,Berries-Blueberries-Pounds,0.324060503,
Frozen fruit (processed-weight basis): Per capita availability,1998,Berries-Blueberries-Pounds,0.34578346,
Frozen fruit (processed-weight basis): Per capita availability,1999,Berries-Blueberries-Pounds,0.401782073,
Frozen fruit (processed-weight basis): Per capita availability,2000,Berries-Blueberries-Pounds,0.326022129,
Frozen fruit (processed-weight basis): Per capita availability,2001,Berries-Blueberries-Pounds,0.387940695,
Frozen fruit (processed-weight basis): Per capita availability,2002,Berries-Blueberries-Pounds,0.250824035,
Frozen fruit (processed-weight basis): Per capita availability,2003,Berries-Blueberries-Pounds,0.361251362,
Frozen fruit (processed-weight basis): Per capita availability,2004,Berries-Blueberries-Pounds,0.243765159,
Frozen fruit (processed-weight basis): Per capita availability,2005,Berries-Blueberries-Pounds,0.426109034,
Frozen fruit (processed-weight basis): Per capita availability,2006,Berries-Blueberries-Pounds,0.351954139,
Frozen fruit (processed-weight basis): Per capita availability,2007,Berries-Blueberries-Pounds,0.373539259,
Frozen fruit (processed-weight basis): Per capita availability,2008,Berries-Blueberries-Pounds,0.381038505,
Frozen fruit (processed-weight basis): Per capita availability,2009,Berries-Blueberries-Pounds,0.527694915,
Frozen fruit (processed-weight basis): Per capita availability,2010,Berries-Blueberries-Pounds,0.575715989,
Frozen fruit (processed-weight basis): Per capita availability,2011,Berries-Blueberries-Pounds,0.453170489,
Frozen fruit (processed-weight basis): Per capita availability,2012,Berries-Blueberries-Pounds,0.43850209,
Frozen fruit (processed-weight basis): Per capita availability,2013,Berries-Blueberries-Pounds,0.543909915,
Frozen fruit (processed-weight basis): Per capita availability,2014,Berries-Blueberries-Pounds,0.623596157,
Frozen fruit (processed-weight basis): Per capita availability,2015,Berries-Blueberries-Pounds,0.677433036,
Frozen fruit (processed-weight basis): Per capita availability,2016,Berries-Blueberries-Pounds,0.642945084,
Frozen fruit (processed-weight basis): Per capita availability,2017,Berries-Blueberries-Pounds,0.722751224,
Frozen fruit (processed-weight basis): Per capita availability,2018,Berries-Blueberries-Pounds,0.826236858,
Frozen fruit (processed-weight basis): Per capita availability,2019,Berries-Blueberries-Pounds,0.715398983,
Frozen fruit (processed-weight basis): Per capita availability,2020,Berries-Blueberries-Pounds,0.862271681,
Frozen fruit (processed-weight basis): Per capita availability,2021,Berries-Blueberries-Pounds,0.885267565,
Frozen fruit (processed-weight basis): Per capita availability,1970,Berries-Raspberries-Pounds,0.159959425,
Frozen fruit (processed-weight basis): Per capita availability,1971,Berries-Raspberries-Pounds,0.164209938,
Frozen fruit (processed-weight basis): Per capita availability,1972,Berries-Raspberries-Pounds,0.121488737,
Frozen fruit (processed-weight basis): Per capita availability,1973,Berries-Raspberries-Pounds,0.102874347,
Frozen fruit (processed-weight basis): Per capita availability,1974,Berries-Raspberries-Pounds,0.094456966,
Frozen fruit (processed-weight basis): Per capita availability,1975,Berries-Raspberries-Pounds,0.093900626,
Frozen fruit (processed-weight basis): Per capita availability,1976,Berries-Raspberries-Pounds,0.128419749,
Frozen fruit (processed-weight basis): Per capita availability,1977,Berries-Raspberries-Pounds,0.131221083,
Frozen fruit (processed-weight basis): Per capita availability,1978,Berries-Raspberries-Pounds,0.102882045,
Frozen fruit (processed-weight basis): Per capita availability,1979,Berries-Raspberries-Pounds,0.076870098,
Frozen fruit (processed-weight basis): Per capita availability,1980,Berries-Raspberries-Pounds,0.080798855,
Frozen fruit (processed-weight basis): Per capita availability,1981,Berries-Raspberries-Pounds,0.080881522,
Frozen fruit (processed-weight basis): Per capita availability,1982,Berries-Raspberries-Pounds,0.065464193,
Frozen fruit (processed-weight basis): Per capita availability,1983,Berries-Raspberries-Pounds,0.074688336,
Frozen fruit (processed-weight basis): Per capita availability,1984,Berries-Raspberries-Pounds,0.055849849,
Frozen fruit (processed-weight basis): Per capita availability,1985,Berries-Raspberries-Pounds,0.098127196,
Frozen fruit (processed-weight basis): Per capita availability,1986,Berries-Raspberries-Pounds,0.091418693,
Frozen fruit (processed-weight basis): Per capita availability,1987,Berries-Raspberries-Pounds,0.07248645,
Frozen fruit (processed-weight basis): Per capita availability,1988,Berries-Raspberries-Pounds,0.118112325,
Frozen fruit (processed-weight basis): Per capita availability,1989,Berries-Raspberries-Pounds,0.217298495,
Frozen fruit (processed-weight basis): Per capita availability,1990,Berries-Raspberries-Pounds,0.200664328,
Frozen fruit (processed-weight basis): Per capita availability,1991,Berries-Raspberries-Pounds,0.190155491,
Frozen fruit (processed-weight basis): Per capita availability,1992,Berries-Raspberries-Pounds,0.276703167,
Frozen fruit (processed-weight basis): Per capita availability,1993,Berries-Raspberries-Pounds,0.283244254,
Frozen fruit (processed-weight basis): Per capita availability,1994,Berries-Raspberries-Pounds,0.299372395,
Frozen fruit (processed-weight basis): Per capita availability,1995,Berries-Raspberries-Pounds,0.311553725,
